Entity,"Land use per 1000kcal (Poore & Nemecek, 2018)"
Apples,1.3125
Bananas,3.216666667
Barley,0.222
Beef (beef herd),119.4908425
Beef (dairy herd),15.83882784
Beet Sugar,0.521367521
Berries & Grapes,4.228070175
Brassicas,3.235294118
Cane Sugar,0.581196581
Cassava,1.858316222
Cheese,22.68475452
Citrus Fruit,2.6875
Coffee,38.60714286
Dark Chocolate,13.3384913
Eggs,4.354166667
Fish (farmed),4.698324022
Groundnuts,1.570689655
Lamb & Mutton,116.659306
Maize,0.650082919
Milk,14.91666667
Nuts,2.107317073
Oatmeal,2.897445673
Olive Oil,2.976244344
Onions & Leeks,1.054054054
Other Pulses,4.565982405
Palm Oil,0.273755656
Peas,2.156069364
Pig Meat,7.263598326
Potatoes,1.202185792
Poultry Meat,6.605405405
Prawns (farmed),2.883495146
Rapeseed Oil,1.202488688
Rice,0.759631036
Root Vegetables,0.891891892
Sunflower Oil,1.997737557
Tofu (soybeans),1.298892989
Tomatoes,4.210526316
Wheat & Rye,1.439074806